MWP2A,08 24 2021,99.8,99.8,99.8,99.8,500
PNX3B,08 24 2021,106.0,106.8,106.0,106.8,260
PNX4,08 24 2021,1004.0,1006.0,1004.0,1006.0,20
PRF3A,08 24 2021,1115.0,1116.0,1115.0,1116.0,720
PRF3B,08 24 2021,1169.0,1169.0,1169.0,1169.0,650
SFIP,08 24 2021,1.66,1.66,1.66,1.66,1000
SMC2C,08 24 2021,76.05,76.05,76.0,76.0,7310
SMC2E,08 24 2021,76.0,76.0,76.0,76.0,500
SMC2F,08 24 2021,78.65,78.65,78.5,78.5,61250
SMC2H,08 24 2021,76.15,76.15,76.15,76.15,100
SMC2J,08 24 2021,76.15,76.2,75.55,75.55,680730
ABSP,08 24 2021,10.5,10.5,10.5,10.5,100000
GMAP,08 24 2021,12.58,12.58,12.0,12.08,37800
LRW,08 24 2021,0.415,0.52,0.38,0.52,8070000
TECHW,08 24 2021,1.82,1.93,1.77,1.86,42417000
APVI,08 24 2021,18.6,19.6,18.5,19.0,278900
IDC,08 24 2021,2.01,2.1,2.01,2.03,190000
KPPI,08 24 2021,4.26,4.26,4.2,4.2,82000
MM,08 24 2021,3.63,3.68,3.59,3.61,2425000
FMETF,08 24 2021,101.0,101.5,99.9,101.4,16410
^FINANCIAL,08 24 2021,1433.85,1441.71,1426.48,1440.59,6537280
^INDUSTRIAL,08 24 2021,9686.06,9807.25,9670.39,9807.25,191068019
^HOLDING,08 24 2021,6590.44,6678.89,6590.44,6678.89,75957968
^PROPERTY,08 24 2021,3090.61,3090.61,3044.14,3073.39,217957865
^SERVICE,08 24 2021,1648.92,1654.16,1645.15,1650.68,1768517883
^MINING-OIL,08 24 2021,9174.08,9259.99,9160.62,9199.61,413780132
^SME,08 24 2021,0.0,0.0,0.0,0.0,2981665
^ETF,08 24 2021,0.0,0.0,0.0,0.0,16416
^PSEi,08 24 2021,6631.87,6678.82,6628.4,6678.82,0
^ALLSHARES,08 24 2021,4125.5,4144.88,4122.72,4144.88,0
